,imdb_name_id,name,date_of_birth,height,is_actor,race,gender,sexuality
0,nm0306947,Helen Gardner,1884-09-02,166.0,TRUE,,,
1,nm0801774,Pearl Sindelar,1887-02-05,,TRUE,,,
2,nm0276160,Miss Fielding,,,TRUE,,,
3,nm0733482,Miss Robson,,,TRUE,,,
4,nm0182557,Helene Costello,1906-06-21,157.0,TRUE,,,
5,nm1950505,Charles Sindelar,1876-05-27,,TRUE,,,
6,nm0397513,Mr. Howard,,,TRUE,,,
7,nm0906610,James R. Waite,1845-06-22,,TRUE,,,
8,nm0000847,Theda Bara,1885-07-29,168.0,TRUE,White,Female,Straight
9,nm0500021,Fritz Leiber,1882-01-31,,TRUE,White,Male,Straight
11,nm0356159,Thurston Hall,1882-05-10,183.0,TRUE,White,Male,Straight
13,nm0741182,Alan Roscoe,1886-08-23,,TRUE,,,
15,nm0562197,Herschel Mayall,1863-07-12,,TRUE,,,
16,nm0000858,John Barrymore,1882-02-15,175.0,TRUE,White,Male,Straight
19,nm0403582,Brandon Hurst,1866-11-30,183.0,TRUE,,,
20,nm0543806,Martha Mansfield,1899-07-14,,TRUE,,,
21,nm0485272,Charles Lane,1905-01-26,178.0,TRUE,White,Male,Straight
27,nm0167247,Cecil Clovelly,1890-05-25,,TRUE,,,
28,nm0620519,Nita Naldi,1894-11-13,171.0,TRUE,,,
29,nm0938464,Louis Wolheim,1880-03-28,179.0,TRUE,,,
31,nm0003425,Asta Nielsen,1881-09-11,,TRUE,,,
33,nm0175761,Paul Conradi,,,TRUE,,,
34,nm0104965,Mathilde Brandt,,,TRUE,,,
35,nm0903235,Eduard von Winterstein,1871-08-01,,TRUE,,,
36,nm0432721,Hans Junkermann,1872-02-24,,TRUE,,,
37,nm0732079,Paul Robeson,1898-04-09,191.0,TRUE,Black,Male,Straight
38,nm0737074,Marshall Rogers,1891-04-29,,TRUE,,,
39,nm0155479,Lawrence Chenault,1877-11-23,,TRUE,,,
40,nm0018319,Chester A. Alexander,1885-08-07,180.0,TRUE,,,
41,nm0180394,Walter Cornick,"1872 in Norfolk, Virginia, USA",,TRUE,,,
42,nm0425645,Lillian Johnson,,,TRUE,,,
43,nm0732876,Madame Robinson,"1879 in Virginia, USA",,TRUE,,,
44,nm0478942,Rod La Rocque,1898-11-20,191.0,TRUE,White,Male,Straight
46,nm0723678,Lillian Rich,1900-01-01,160.0,TRUE,,,
47,nm0249187,Robert Edeson,1868-06-03,,TRUE,,,
